SRG,MCP
p_1000_0,entity
p_1001_0,tileEntity
p_1002_0,posX
p_1002_1,posY
p_1002_2,posZ
p_1003_0,posX
p_1003_1,posY
p_1003_2,posZ
p_1004_0,pByteA
p_1004_1,pInt
p_1004_2,pInt1
p_1004_3,pInt2
p_1004_4,pInt3
p_1004_5,pInt4
p_1004_6,pInt5
p_1004_7,pInt6
p_1005_0,posX
p_1005_1,posY
p_1005_2,posZ
p_1005_3,tileEntity
p_1007_0,posX
p_1007_1,posY
p_1007_2,posZ
p_1008_0,posX
p_1008_1,posY
p_1008_2,posZ
p_1009_0,posX
p_1009_1,posY
p_1009_2,posZ
p_1009_3,metadata
p_1010_0,posX
p_1010_1,posY
p_1010_2,posZ
p_1010_3,id
p_1010_4,metadata
p_1011_0,skyBlock
p_1011_1,posX
p_1011_2,posY
p_1011_3,posZ
p_1011_4,value
p_1012_0,pFlag
p_1013_0,entityClass
p_1013_1,aabb
p_1013_2,list
p_1015_0,entity
p_1016_0,entity
p_1016_1,index
p_1017_0,xPosition
p_1017_1,zPosition
p_1019_0,posX
p_1019_1,posY
p_1019_2,posZ
p_1019_3,skylightSubtracted
p_1020_0,posX
p_1020_1,posZ
p_1020_2,maxHeight
p_1021_0,posX
p_1021_1,posY
p_1021_2,posZ
p_1022_0,posX
p_1022_1,posY
p_1022_2,posZ
p_1022_3,id
p_1023_0,posX
p_1023_1,posY
p_1023_2,posZ
p_1025_0,skyBlock
p_1025_1,posX
p_1025_2,posY
p_1025_3,posZ
p_1026_0,worldObj
p_1026_1,renderEngine
p_1026_2,fontRenderer
p_1026_3,player
p_1026_4,tick
p_1028_0,tileEntity
p_1030_0,tileEntity
p_1030_1,pFloat
p_1031_0,tileEntity
p_1032_0,tileEntity
p_1032_1,posX
p_1032_2,posY
p_1032_3,posZ
p_1032_4,pFloat
p_1033_0,point
p_1034_0,point
p_1035_0,point
p_1035_1,distance
p_1037_0,point
p_1040_0,recipeOne
p_1040_1,recipeTwo
p_1042_0,binding
p_1042_1,code
p_1043_0,binding
p_1045_0,optionValue
p_1045_1,sliderValue
p_1046_0,optionValue
p_1047_0,optionValue
p_1048_0,optionValue
p_1048_1,sliderValue
p_1049_0,optionValue
p_1050_0,optionValue
p_1051_0,manager
p_1052_0,value
p_1053_0,hash
p_1053_1,key
p_1053_2,value
p_1053_3,index
p_1054_0,key
p_1055_0,key
p_1056_0,key
p_1057_0,key
p_1059_0,entries
p_1060_0,key
p_1061_0,key
p_1061_1,value
p_1062_0,hashSlot
p_1062_1,hashLength
p_1063_0,rendererOne
p_1063_1,rendererTwo
p_1066_0,animation
p_1068_0,image
p_1068_1,intBuffer
p_1069_0,image
p_1070_0,name
p_1071_0,url
p_1071_1,name
p_1072_0,colorOne
p_1072_1,colorTwo
p_1073_0,url
p_1074_0,image
